epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.364,1.13368,1.86813,19.3085,0.79398,0,0,0,0,0,0.00082,1,0.166,0.01689,0.8951,1.00599,38.8746,0.64877,0,0.000542437,0.000542437,0.000542437
2,221.324,1.03646,1.6828,16.9279,0.7251,0,0,0,0,0,0.00077,1,0.00618,0.00083,1.17709,1.45354,40.0026,0.99019,0,0.00108723,0.00108723,0.00108723
3,315.593,1.21687,1.55067,16.0739,0.85768,0,0.00082,1,0.0047,0.00183,0.00082,1,0.01326,0.00869,0.85411,0.92964,36.9061,0.67629,0,0.00162103,0.00162103,0.00162103
4,408.296,1.30309,1.56585,14.1939,0.94616,0,0.14196,0.5,0.18939,0.06994,0.14196,0.5,0.18939,0.10363,1.4137,0.97221,38.2929,1.21131,0,0.00161749,0.00161749,0.00161749
5,522.093,1.44651,1.76429,13.4513,1.04105,0,0.00067,1,0.1674,0.05009,0.00067,1,0.1674,0.06662,1.29148,1.28603,27.1362,0.90416,0,0.00160099,0.00160099,0.00160099
6,598.688,1.29632,1.56594,13.426,0.94536,0,0.00068,1,0.00804,0.00337,0.00068,1,0.02341,0.00661,0.97183,0.91865,27.5274,0.67752,0,0.00158448,0.00158448,0.00158448
7,676.517,1.23891,1.28863,12.596,0.93798,0,0.00064,1,0.06219,0.02056,0.00064,1,0.06219,0.02012,1.23111,1.46308,27.2766,0.79149,0,0.00156798,0.00156798,0.00156798
8,757.863,0.94396,0.98714,12.6994,0.66027,0,0.00059,1,0.01088,0.00292,0.00059,1,0.01088,0.00584,1.00269,1.43479,26.6594,0.73959,0,0.00155148,0.00155148,0.00155148
9,834.297,1.07867,0.99737,11.6279,0.73979,0,0.22755,0.5,0.29,0.1112,0.22755,0.5,0.29,0.12554,1.05839,0.89964,24.322,0.7514,0,0.00153497,0.00153497,0.00153497
10,910.826,1.00419,1.06022,10.8332,0.73685,0,0.00061,1,0.03373,0.00787,0.00061,1,0.03373,0.01189,1.11154,0.8974,21.6056,0.68876,0,0.00151847,0.00151847,0.00151847
11,997.998,1.06393,0.98819,10.3923,0.71719,0,0.0006,1,0.00285,0.00057,0.0006,1,0.00389,0.00157,1.42738,1.40462,22.9613,0.83443,0,0.00150197,0.00150197,0.00150197
12,1091.36,1.19548,1.00028,9.37748,0.81334,0,0.02606,1,0.14214,0.07175,0.02606,1,0.14214,0.0995,0.9551,0.78636,20.7427,0.63724,0,0.00148546,0.00148546,0.00148546
